UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long
LARCENY-FROM VEHICLE,203291847,11/25/2020,1810 CHESHIRE BRIDGE RD NE,212,Morningside/Lenox Park,F,33.809106,-84.363549
LARCENY-FROM VEHICLE,203291870,11/25/2020,915 W PEACHTREE ST NW,503,Midtown,E,33.779742,-84.386812
LARCENY-FROM VEHICLE,203291913,11/25/2020,77 WEST PACES FERRY RD NW,206,South Tuxedo Park,B,33.840896,-84.381392
BURGLARY,203291939,11/25/2020,193 MOURY AVE SE,305,The Villages at Carver,Y,33.715257,-84.391697
LARCENY-FROM VEHICLE,203300071,11/25/2020,1075 PEACHTREE ST NE,503,Midtown,E,33.783861,-84.383009
LARCENY-FROM VEHICLE,203300072,11/25/2020,3165 E SHADOWLAWN AVE NE,206,Buckhead Village,B,33.841367,-84.373835
AUTO THEFT,203300077,11/25/2020,3004 PIEDMONT RD NE,206,Garden Hills,B,33.836599,-84.368642
AGG ASSAULT,203300101,11/25/2020,2850 ARGYLE DR NW,113,Lincoln Homes,G,33.799125,-84.481316
LARCENY-FROM VEHICLE,203300144,11/25/2020,2263 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.816942,-84.351771
LARCENY-FROM VEHICLE,203300181,11/25/2020,2020 BOLTON RD NW,103,Riverside,D,33.811479,-84.475772
LARCENY-NON VEHICLE,203300233,11/25/2020,1647 NEKOMA ST NW,107,Grove Park,J,33.76703,-84.441561
AUTO THEFT,203300264,11/25/2020,1146 IRA ST SW,302,Pittsburgh,V,33.72373,-84.399773
LARCENY-NON VEHICLE,203300314,11/25/2020,2846 3RD AVE SW,311,Hammond Park,X,33.677159,-84.402718
LARCENY-NON VEHICLE,203300341,11/25/2020,1660 JONESBORO RD SE,307,Lakewood Heights,Y,33.706654,-84.379264
LARCENY-FROM VEHICLE,203300345,11/25/2020,820 WEST MARIETTA ST NW,506,English Avenue,L,33.780566,-84.416528
LARCENY-FROM VEHICLE,203300347,11/25/2020,1352 METROPOLITAN AVE SE,612,East Atlanta,W,33.742827,-84.343401
LARCENY-FROM VEHICLE,203300352,11/25/2020,1016 HOWELL DR SE,606,Reynoldstown,N,33.746878,-84.350525
BURGLARY,203300362,11/25/2020,146 POWELL ST SE,606,Cabbagetown,N,33.750667,-84.365972
AUTO THEFT,203300363,11/25/2020,1212 JAMES JACKSON PKWY NW,113,Monroe Heights,G,33.789697,-84.477225
LARCENY-NON VEHICLE,203300390,11/25/2020,900 JOSEPH E. LOWERY BLVD NW,106,Knight Park/Howell Station,K,33.779657,-84.417402
LARCENY-NON VEHICLE,203300393,11/25/2020,2060 FLEET ST SW,306,Sylvan Hills,X,33.698204,-84.411596
LARCENY-FROM VEHICLE,203300439,11/25/2020,1309 BENTEEN PARK DR SE,607,Benteen Park,W,33.71658,-84.361906
LARCENY-NON VEHICLE,203300467,11/25/2020,1938 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70158,-84.407758
LARCENY-NON VEHICLE,203300498,11/25/2020,2525 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.824018,-84.365306
AGG ASSAULT,203300505,11/25/2020,3601 M.L.K. JR DR SW,111,Adamsville,H,33.760176,-84.505639
AUTO THEFT,203300510,11/25/2020,2871 ALTAVIEW DR SE,312,Rosedale Heights,Z,33.676432,-84.382809
AUTO THEFT,203300539,11/25/2020,437 WHITEHALL ST SW,507,Castleberry Hill,M,33.744891,-84.401997
BURGLARY,203300554,11/25/2020,267 WADLEY ST NW,108,Dixie Hills,J,33.759139,-84.458101
AUTO THEFT,203300603,11/25/2020,3340 VILLA CIR SE,313,Blair Villa/Poole Creek,Z,33.659312,-84.376978
LARCENY-FROM VEHICLE,203300630,11/25/2020,349 DECATUR ST SE,604,Sweet Auburn,M,33.749898,-84.377702
LARCENY-FROM VEHICLE,203300667,11/25/2020,1940 FISHER RD SE,607,Custer/McDonough/Guice,W,33.71371,-84.359358
LARCENY-NON VEHICLE,203300676,11/25/2020,170 17TH ST NW,501,Atlantic Station,E,33.791373,-84.392294
LARCENY-NON VEHICLE,203300712,11/25/2020,116 PONCE DE LEON AVE NE,505,Midtown,E,33.772981,-84.383527
AUTO THEFT,203300743,11/25/2020,875 M.L.K. JR DR NW,102,Vine City,L,33.754966,-84.415835
LARCENY-NON VEHICLE,203300744,11/25/2020,2525 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.824018,-84.365306
