UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long
ROBBERY-PEDESTRIAN,190312274,1/31/2019,800 HUTCHENS RD,313,South River Gardens,Z,33.67102,-84.36187
ROBBERY-COMMERCIAL,190311297,1/31/2019,2690 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70208,-84.47641
ROBBERY-PEDESTRIAN,190312026,1/31/2019,710 PEACHTREE ST NE @HOWELL HOUSE,505,Midtown,E,33.77407,-84.38526
ROBBERY-RESIDENCE,190310320,1/31/2019,653 BOULEVARD,603,Old Fourth Ward,M,33.77244,-84.37129
AGG ASSAULT,190310550,1/31/2019,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.7005,-84.46574
AGG ASSAULT,190312093,1/31/2019,2226 TIGER FLOWERS DR NW,108,Dixie Hills,J,33.76073,-84.46049
AGG ASSAULT,190311580,1/31/2019,1154 DOLPHIN DR SW,406,Cascade Avenue/Road,S,33.72386,-84.46143
BURGLARY-RESIDENCE,190311341,1/31/2019,1888 EMERY ST NW,205,Wildwood (NPU-C),C,33.80701,-84.41444
BURGLARY-RESIDENCE,190311337,1/31/2019,282 ANDERSON AVE NW,108,Dixie Hills,J,33.76277,-84.45142
BURGLARY-RESIDENCE,190311095,1/31/2019,3338 DELMAR LN NW,111,Adamsville,H,33.75633,-84.49724
BURGLARY-NONRES,190310775,1/31/2019,350 MEMORIAL DR SE,605,Grant Park,W,33.74714,-84.37608
BURGLARY-NONRES,190310232,1/31/2019,1241 MORELAND AVE SE @SUNSHINE PLAZA SC,607,Woodland Hills,W,33.72055,-84.35045
BURGLARY-RESIDENCE,190311619,1/31/2019,2323 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.81828,-84.36696
LARCENY-NON VEHICLE,190311809,1/31/2019,190 MARIETTA ST NW @OMNI HOTEL,507,Downtown,M,33.75757,-84.39487
LARCENY-NON VEHICLE,190312082,1/31/2019,190 MARIETTA ST NW @OMNI HOTEL,507,Downtown,M,33.75757,-84.39487
LARCENY-NON VEHICLE,190311390,1/31/2019,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075
LARCENY-NON VEHICLE,190310679,1/31/2019,520 BOULEVARD SE,605,Grant Park,W,33.7407,-84.36764
LARCENY-NON VEHICLE,190311541,1/31/2019,1225 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75605,-84.34813
LARCENY-NON VEHICLE,190311525,1/31/2019,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921
LARCENY-NON VEHICLE,190311447,1/31/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619
LARCENY-NON VEHICLE,190311507,1/31/2019,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201
LARCENY-NON VEHICLE,190311620,1/31/2019,816 OAK ST SW,401,West End,T,33.74054,-84.41497
LARCENY-NON VEHICLE,190311669,1/31/2019,3160 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68593,-84.49685
LARCENY-FROM VEHICLE,190310615,1/31/2019,2788 DEFOORS FERRY RD NW,201,,C,33.82114,-84.44713
LARCENY-FROM VEHICLE,190310328,1/31/2019,1244 HOLLY ST NW,501,Home Park,E,33.78874,-84.39602
LARCENY-FROM VEHICLE,190310420,1/31/2019,3670 RIDGEWOOD RD NW,201,Paces,A,33.85498,-84.44081
LARCENY-FROM VEHICLE,190310442,1/31/2019,3537 MARTIN L KING JR DR NW,111,Adamsville,H,33.75819,-84.50327
LARCENY-FROM VEHICLE,190310598,1/31/2019,1845 PIEDMONT AVE NE,213,Morningside/Lenox Park,F,33.80646,-84.36665
LARCENY-FROM VEHICLE,190310677,1/31/2019,299 HOLDERNESS ST SW,104,West End,T,33.74689,-84.42723
LARCENY-FROM VEHICLE,190310741,1/31/2019,1870 CAMPBELLTON RD SW,408,,R,33.70939,-84.44964
LARCENY-FROM VEHICLE,190311278,1/31/2019,275 MEMORIAL DR SE,605,Grant Park,W,33.74676,-84.37856
LARCENY-FROM VEHICLE,190310590,1/31/2019,1661 LA FRANCE ST NE,609,Edgewood,O,33.76103,-84.33185
LARCENY-FROM VEHICLE,190311497,1/31/2019,276 JOSEPHINE ST NE,608,Candler Park,N,33.76188,-84.34831
LARCENY-FROM VEHICLE,190311648,1/31/2019,1155 LAVISTA RD NE,212,Lindridge/Martin Manor,F,33.81743,-84.351
LARCENY-FROM VEHICLE,190311874,1/31/2019,3670 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.655,-84.50859
LARCENY-FROM VEHICLE,190311917,1/31/2019,1142 BRIARCLIFF PL NE,601,Virginia Highland,F,33.77747,-84.34995
LARCENY-FROM VEHICLE,190312115,1/31/2019,2809 PEACHTREE RD NE,206,Garden Hills,B,33.83157,-84.38498
LARCENY-FROM VEHICLE,190312230,1/31/2019,900 DEKALB AVE NE,602,Inman Park,N,33.75506,-84.35781
LARCENY-FROM VEHICLE,190312233,1/31/2019,727 WYLIE ST SE,606,Cabbagetown,N,33.75204,-84.36355
LARCENY-FROM VEHICLE,190312060,1/31/2019,973 ROSEDALE RD NE,601,Virginia Highland,F,33.78118,-84.34786
LARCENY-FROM VEHICLE,190312104,1/31/2019,2290 PEACHTREE RD NW,205,,C,33.81671,-84.39005
LARCENY-FROM VEHICLE,190311601,1/31/2019,2801 TEE RD SW,405,Harland Terrace,I,33.75086,-84.47961
LARCENY-FROM VEHICLE,190311080,1/31/2019,2198 ESSEX AVE SW,409,Adams Park,R,33.71818,-84.46039
LARCENY-FROM VEHICLE,190312327,1/31/2019,2997 CAMPBELLTON RD SW,409,Southwest,R,33.6962,-84.48681
LARCENY-NON VEHICLE,190310487,1/31/2019,303 PEACHTREE STREET NE,509,Downtown,M,33.76265,-84.38648
LARCENY-NON VEHICLE,190310919,1/31/2019,400 W PEACHTREE ST NW,504,Downtown,M,33.76614,-84.3876
LARCENY-NON VEHICLE,190311104,1/31/2019,3315 PEACHTREE RD,208,Peachtree Park,B,33.84642,-84.36815
LARCENY-NON VEHICLE,190311034,1/31/2019,1740 LISBON DR SW,306,Sylvan Hills,X,33.70729,-84.41185
LARCENY-NON VEHICLE,190310798,1/31/2019,1153 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73858,-84.42535
LARCENY-NON VEHICLE,190310637,1/31/2019,1111 W PACES FERRY RD NW,202,Kingswood,A,33.85216,-84.42186
LARCENY-NON VEHICLE,190310560,1/31/2019,971 ESTES DR SW,306,Sylvan Hills,X,33.69879,-84.42076
LARCENY-NON VEHICLE,190312125,1/31/2019,397 7TH ST NE,506,Midtown,E,33.7782,-84.37415
AUTO THEFT,190310445,1/31/2019,507 BISHOP ST NW,207,Loring Heights,E,33.79231,-84.40486
AUTO THEFT,190311088,1/31/2019,205 16TH ST NW,501,Atlantic Station,E,33.79018,-84.39447
AUTO THEFT,190311086,1/31/2019,151 14TH ST NW,501,Home Park,E,33.7873,-84.39241
AUTO THEFT,190311343,1/31/2019,658 LINDBERGH DR NE,211,Lindbergh/Morosgo,B,33.82071,-84.36524
AUTO THEFT,190311394,1/31/2019,850 0AK ST SW,401,West End,T,33.74057,-84.4168
AUTO THEFT,190311883,1/31/2019,2050 SYLVAN RD SW,306,Sylvan Hills,X,33.69852,-84.41798
AUTO THEFT,190311828,1/31/2019,12 HOPKINS ST SE,307,Lakewood Heights,Y,33.70602,-84.38194
