UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,090301948,01/31/2009,1029 DONALD LEE HOLLOWELL PKWY,102,Bankhead,K,33.77341,-84.42157,
ROBBERY-PEDESTRIAN,090310876,01/31/2009,461 PONCE DE LEON AVE,505,Old Fourth Ward,M,33.77303,-84.3719,
ROBBERY-PEDESTRIAN,090310175,01/31/2009,909 PONCE DE LEON AVE NE,604,Poncey-Highland,N,33.77347,-84.35767,
AGG ASSAULT,090310145,01/31/2009,3200 STONE RD SW,408,Greenbriar,R,33.6697,-84.49403,
AGG ASSAULT,090311660,01/31/2009,3071 MIDDLETON RD NW,412,,I,33.75471,-84.48939,
AGG ASSAULT,090311483,01/31/2009,1002 MARTIN ST SE,302,Peoplestown,V,33.72712,-84.38314,
AGG ASSAULT,090311071,01/31/2009,934 MAYSON TURNER RD NW,103,Washington Park,K,33.75824,-84.41792,
AGG ASSAULT,090311515,01/31/2009,275 PRYOR ST SW,508,Downtown,M,33.74747,-84.39415,
AGG ASSAULT,090310703,01/31/2009,2125 JOSEPH E BOONE BLVD,104,Center Hill,J,33.76479,-84.4579,
AGG ASSAULT,090310690,01/31/2009,197 MOURY AVE SW,305,The Villages at Carver,Y,33.7174,-84.39315,
AGG ASSAULT,090310453,01/31/2009,1919 METROPOLITAN PARKWAY,311,Sylvan Hills,X,33.70278,-84.41017,
AGG ASSAULT,090310102,01/31/2009,116 ELYSIAN WAY NW,208,Cross Creek,C,33.82064,-84.42786,
AGG ASSAULT,090310077,01/31/2009,JONES AVE NW / VINE ST NW,111,English Avenue,L,33.76426,-84.40775,
BURGLARY-RESIDENCE,090311902,01/31/2009,239 PEARL ST SE,606,Cabbagetown,N,33.74801,-84.36256,
BURGLARY-RESIDENCE,090310965,01/31/2009,1717 GIBEN RD SW;,306,Amal Heights,Y,33.70847,-84.39969,
BURGLARY-RESIDENCE,090310954,01/31/2009,527 EAST AVE NE,511,Old Fourth Ward,M,33.763,-84.37,
BURGLARY-RESIDENCE,090310949,01/31/2009,477 E SIDE AVE SE,610,East Atlanta,W,33.74106,-84.3402,
BURGLARY-RESIDENCE,090302190,01/31/2009,1975 MAIN ST NW,209,Riverside,D,33.80957,-84.47008,
BURGLARY-RESIDENCE,090311775,01/31/2009,18 MONTGOMERY ST SE,608,Kirkwood,O,33.75297,-84.33944,
BURGLARY-RESIDENCE,090311101,01/31/2009,1732 WESTHAVEN DR SW,403,Cascade Avenue/Road,S,33.73235,-84.44454,
BURGLARY-RESIDENCE,090311536,01/31/2009,701 DEFOORS LNDG NW,208,Underwood Hills,D,33.80306,-84.42002,
BURGLARY-RESIDENCE,090311030,01/31/2009,680 CLIFTON RD SE,610,East Atlanta,W,33.73554,-84.3297,
BURGLARY-RESIDENCE,090310761,01/31/2009,746 LEXINGTON AVE SW,303,Adair Park,V,33.72443,-84.41222,
BURGLARY-NONRES,090312143,01/31/2009,2087 LOUISE PL NW,106,Grove Park,J,33.77688,-84.45625,
BURGLARY-NONRES,090310936,01/31/2009,425 10TH ST NW,501,Home Park,E,33.78189,-84.40089,
BURGLARY-NONRES,090310100,01/31/2009,1167 JOSEPH E BOONE BLVD NW,102,Bankhead,K,33.76378,-84.42565,
BURGLARY-RESIDENCE,090311918,01/31/2009,1717 CENTRA VILLA DR SW,407,Adams Park,R,33.70928,-84.45571,
BURGLARY-RESIDENCE,090311718,01/31/2009,2440 BARGE RD SW,410,,P,33.68847,-84.50615,
BURGLARY-RESIDENCE,090310961,01/31/2009,600 MARTIN ST SE,302,Summerhill,V,33.73831,-84.38396,
BURGLARY-RESIDENCE,090310489,01/31/2009,600 GARSON DR NE,206,Lindbergh/Morosgo,B,33.81907,-84.37069,
BURGLARY-NONRES,090311549,01/31/2009,3030 HEADLAND DR SW,408,Greenbriar,R,33.68947,-84.48782,
LARCENY-NON VEHICLE,090311019,01/31/2009,3393 PEACHTREE RD,204,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,090311143,01/31/2009,683 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73646,-84.41838,
LARCENY-NON VEHICLE,090311165,01/31/2009,1801 HOWELL MILL RD NW,208,Berkeley Park,D,33.80448,-84.41348,
LARCENY-NON VEHICLE,090311379,01/31/2009,1801 HOWELL MILL RD NW,208,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,090311666,01/31/2009,3730 CARMIA DR SW,410,Princeton Lakes,P,33.6552,-84.51009,
LARCENY-NON VEHICLE,090311160,01/31/2009,50 LOWER ALBAMA ST,508,Downtown,M,33.75194,-84.38964,
LARCENY-NON VEHICLE,090311167,01/31/2009,72 ALABAMA ST,508,Midtown,E,33.7727,-84.38497,
LARCENY-NON VEHICLE,090312015,01/31/2009,1801 HOWELL MILL RD NW,208,Berkeley Park,D,33.80448,-84.41348,
LARCENY-FROM VEHICLE,090310566,01/31/2009,300 W PEACHTREE ST NW,507,Downtown,M,33.76254,-84.38789,
LARCENY-FROM VEHICLE,090302038,01/31/2009,10TH ST NE / MONROE DR,504,Midtown,E,33.78174,-84.36869,
LARCENY-FROM VEHICLE,090310513,01/31/2009,1276 AVON AVE SW,403,Oakland City,S,33.72211,-84.42975,
LARCENY-FROM VEHICLE,090310452,01/31/2009,95 ERICSON ST SE;,607,Edgewood,O,33.75095,-84.34479,
LARCENY-FROM VEHICLE,090311469,01/31/2009,430 CENTENNIAL OLYMPIC P DR NW,506,Downtown,M,33.76628,-84.392,
LARCENY-FROM VEHICLE,090311548,01/31/2009,591 JONES AVE,111,English Avenue,L,33.7645,-84.40686,
LARCENY-FROM VEHICLE,090310214,01/31/2009,27 8TH ST NE,503,Midtown,E,33.77935,-84.38632,
LARCENY-FROM VEHICLE,090311560,01/31/2009,3365 PIEDMONT RD NE,203,North Buckhead,B,33.84709,-84.37295,
LARCENY-FROM VEHICLE,090310340,01/31/2009,152 NASSAU ST NW,506,Downtown,M,33.75843,-84.39219,
LARCENY-FROM VEHICLE,090311140,01/31/2009,500 10TH ST NE,504,,E,33.78186,-84.373,
LARCENY-FROM VEHICLE,090311041,01/31/2009,646 EVANS ST SW,401,West End,T,33.73738,-84.41556,
LARCENY-FROM VEHICLE,090310966,01/31/2009,415 ARMOUR DR NE,210,,F,33.81267,-84.37412,
LARCENY-FROM VEHICLE,090310558,01/31/2009,1269 SELLS AVE SW,401,West End,T,33.74555,-84.42931,
LARCENY-FROM VEHICLE,090310863,01/31/2009,2405 FAIRBURN RD SW @BEN HILL PARK,410,,P,33.6889,-84.51291,
LARCENY-FROM VEHICLE,090311196,01/31/2009,24 E LAKE DR,608,East Lake,O,33.75205,-84.30174,
LARCENY-FROM VEHICLE,090311237,01/31/2009,2348 CASCADE RD SW,407,Adams Park,R,33.72146,-84.46522,
LARCENY-FROM VEHICLE,090310744,01/31/2009,1874 PEACHTREE RD NW,210,Ardmore,E,33.80624,-84.3944,
LARCENY-FROM VEHICLE,090311314,01/31/2009,370 NORTHSIDE DR NW,111,English Avenue,L,33.76527,-84.40498,
LARCENY-FROM VEHICLE,090310666,01/31/2009,450 PIEDMONT AVE NE,507,Downtown,M,33.76566,-84.38277,
LARCENY-FROM VEHICLE,090310665,01/31/2009,2620 PEACHTREE RD NW,206,Peachtree Heights West,B,33.82604,-84.38756,
